city_death,tot_pop_17,over_65_count,civ_pop_16_19,civ_pop_16_19_drop,pop_over_25,pop_over_25_less_school,pop_det_poverty,pop_doing_poorly,pop_struggling,pop_poor_or_strug,pop_doing_ok,town_actual_2010_pop,block_est_2010_pop,count_error,percent_error,pop_density,med_house_inc,mean_house_inc
ABINGTON,16275,2469,753,26,11377,615,16194,579,1626,2205,13989,15985.0,15985.0,0.0,0.0,1932.96913,87156.0,98809.03550508946
ACTON,23455,4001,1476,18,16161,397,23307,893,973,1866,21441,21924.0,21924.0,0.0,0.0,1257.5835933333333,139890.46666666667,156680.2038667132
ACUSHNET,10443,2431,564,62,7635,1397,10336,422,1844,2266,8070,10303.0,10303.0,0.0,0.0,1152.3578714285716,69624.71428571429,80333.1758415636
ADAMS,8211,1764,333,23,6095,723,8209,910,1187,2097,6112,8485.0,8485.0,0.0,0.0,1982.31884,48445.4,60968.59465971087
AGAWAM,27769,6195,1177,0,20674,1602,26925,2553,3841,6394,20531,28438.0,27621.0,-817.0,2.8729165201490967,1897.2735687500003,65490.125,79464.23444558342
ALFORD,411,219,11,0,344,5,411,20,10,30,381,494.0,494.0,0.0,0.0,35.74524,105625.0,148519.270833333
AMESBURY,17218,2949,899,39,12292,707,16992,835,1533,2368,14624,16283.0,16283.0,0.0,0.0,2659.783186666666,86335.33333333333,96920.17138143258
AMHERST,39880,3465,9642,0,12760,637,23602,7842,3509,11351,12251,37819.0,37819.0,0.0,0.0,3464.2671318181824,61203.94736842105,76166.45394901112
ANDOVER,35375,5881,2351,31,23207,610,34036,1512,1498,3010,31026,33201.0,33201.0,0.0,0.0,1920.0495299999998,135314.05,174570.49906727744
AQUINNAH,640,66,55,8,331,32,640,139,32,171,469,311.0,311.0,0.0,0.0,120.0165,80250.0,103304.316546763
ARLINGTON,44992,8208,1614,34,33199,986,44689,2313,2988,5301,39388,42844.0,42844.0,0.0,0.0,9999.961454545453,117226.48837209302,141678.55759841323
ASHBURNHAM,6210,776,290,48,4057,115,6072,290,397,687,5385,6081.0,6081.0,0.0,0.0,292.181324,86149.8,99282.09876598573
ASHBY,3195,496,207,0,2338,196,3157,248,196,444,2713,3074.0,3074.0,0.0,0.0,141.8231,93522.0,103872.60450834001
ASHFIELD,1598,340,93,0,1236,30,1598,123,172,295,1303,1737.0,1737.0,0.0,0.0,40.00308,72415.0,93013.58510023926
ASHLAND,17478,2943,867,0,12417,468,17429,555,1274,1829,15600,16593.0,16593.0,0.0,0.0,1750.2759555555556,105871.77777777778,126114.49357549782
ATHOL,11680,2196,613,16,8465,1075,11510,1693,1905,3598,7912,11584.0,11584.0,0.0,0.0,1265.4741374999999,54531.71428571428,61648.84684156779
ATTLEBORO,44326,6953,1963,18,30765,3347,43807,4013,5704,9717,34090,43593.0,43593.0,0.0,0.0,3040.559063333333,75340.53571428571,86561.72830727945
AUBURN,16552,3659,796,1,12207,829,16446,757,1509,2266,14180,16188.0,16188.0,0.0,0.0,1612.3079294117647,78411.05882352941,93681.00878706726
AVON,4468,819,148,0,3387,450,4468,379,359,738,3730,4356.0,4356.0,0.0,0.0,1297.5282249999998,73736.25,89870.68927908503
AYER,8014,1102,164,0,5959,268,8001,1074,644,1718,6283,7427.0,7427.0,0.0,0.0,1659.3511571428573,76260.0,88050.46078038828
BARNSTABLE,44325,11869,2161,201,33113,1741,44086,4018,6427,10445,33641,45193.0,45193.0,0.0,0.0,1492.01727368421,70447.84210526316,96581.06305344864
BARRE,5491,752,361,0,3765,163,5366,307,625,932,4434,5398.0,5398.0,0.0,0.0,496.4564875,70220.25,88804.5441717447
BECKET,1852,421,58,0,1461,97,1834,127,168,295,1539,1779.0,1779.0,0.0,0.0,41.21907,76042.0,88111.42338958636
BEDFORD,14105,3078,688,77,9876,234,13721,348,1084,1432,12289,13320.0,13320.0,0.0,0.0,1709.7476222222222,124504.22222222222,151027.7814162325
BELCHERTOWN,14906,2721,1091,0,10062,644,14821,855,1426,2281,12540,14649.0,14649.0,0.0,0.0,367.0660500000001,87325.66666666667,105305.02638535477
BELLINGHAM,16929,2330,933,0,11938,717,16764,701,985,1686,15078,16332.0,16332.0,0.0,0.0,1266.5752444444443,96905.77777777778,116765.78432545734
BELMONT,25965,5009,1232,12,17995,628,25692,1420,1376,2796,22896,24729.0,24729.0,0.0,0.0,9164.324444444443,133904.22222222222,169356.88168527174
BERKLEY,6630,847,291,1,4645,294,6619,260,614,874,5745,6411.0,6411.0,0.0,0.0,412.8376333333334,94247.66666666667,107201.58783799357
BERLIN,3098,614,143,29,2289,143,3082,89,253,342,2740,2866.0,2866.0,0.0,0.0,220.97314999999998,90776.5,121826.9028195785
BERNARDSTON,1074,261,40,0,831,20,1074,38,237,275,799,2129.0,1018.0,-1111.0,52.18412400187882,86.64056,70500.0,82633.3333333333
BEVERLY,41431,7488,2442,0,28497,1620,38406,3173,4914,8087,30319,39502.0,39502.0,0.0,0.0,6303.223469999998,87027.46428571429,112923.64809992803
BILLERICA,42791,7375,2360,63,30695,2283,41485,1779,2967,4746,36739,40243.0,40243.0,0.0,0.0,2413.1209366666662,100865.35714285714,111088.3180768316
BLACKSTONE,9201,1238,550,10,6307,367,9165,365,760,1125,8040,9026.0,9026.0,0.0,0.0,1754.223,73267.6,88997.39166895002
BLANDFORD,1259,306,68,0,979,104,1259,89,196,285,974,1233.0,1233.0,0.0,0.0,24.41106,62875.0,78223.8447319778
BOLTON,5167,716,294,0,3434,44,5167,72,189,261,4906,4897.0,4897.0,0.0,0.0,258.03845,149331.5,164037.83714528248
BOSTON,668541,85040,42446,863,456715,63674,625730,128371,99268,227639,398091,617594.0,616852.0,-742.0,0.12014365424534605,27786.891612185278,71196.0495049505,92167.94052329108
BOURNE,19832,4614,1155,45,14141,521,19283,1321,2178,3499,15784,19754.0,19776.0,22.0,0.11136984914447702,1009.7394199999999,69166.9375,91659.35790084311
BOXBOROUGH,5546,739,364,0,3876,116,5546,295,362,657,4889,4996.0,4996.0,0.0,0.0,555.4300666666667,111916.33333333333,138245.35080914994
BOXFORD,8228,1698,415,0,5759,137,8228,228,328,556,7672,7965.0,7961.0,-4.0,0.05021971123666039,352.30438,162762.6,204146.35700396338
BOYLSTON,4524,660,274,0,3171,109,4510,184,405,589,3921,4355.0,4355.0,0.0,0.0,477.316475,91662.75,114604.4399436983
BRAINTREE,37082,7407,1405,0,26253,1562,36510,1822,3586,5408,31102,35744.0,35744.0,0.0,0.0,4295.500269230769,87660.2,102959.95774705119
BREWSTER,9856,3274,381,48,7791,225,9517,457,1167,1624,7893,9820.0,9820.0,0.0,0.0,491.87378888888895,71159.11111111111,93807.27444595686
BRIDGEWATER,27434,4382,2831,93,16704,1211,22735,2159,1878,4037,18698,26563.0,26563.0,0.0,0.0,1921.2091999999998,96327.5,113320.18273497929
BRIMFIELD,3724,839,179,0,2818,174,3694,156,510,666,3028,3609.0,3609.0,0.0,0.0,110.1456,86875.0,95589.44559944549
BROCKTON,94602,13445,5000,239,61378,11537,92750,15678,18383,34061,58689,93810.0,93154.0,-656.0,0.69928579042746,7639.952115116283,59320.72151898734,69958.24249674237
BROOKFIELD,3406,791,105,0,2597,329,3383,311,374,685,2698,3390.0,3390.0,0.0,0.0,237.35909999999998,63971.333333333336,86589.52895936577
BROOKLINE,59246,10353,2373,2,41066,1183,57672,6555,4074,10629,47043,58732.0,58732.0,0.0,0.0,17734.73334210526,120886.67567567568,163911.0914964759
BUCKLAND,1927,538,135,0,1434,144,1923,207,323,530,1393,1902.0,1902.0,0.0,0.0,242.59716500000002,53202.0,65936.03454876065
BURLINGTON,26103,6078,1136,0,18879,914,26086,1041,1664,2705,23381,24498.0,24498.0,0.0,0.0,2933.7361333333333,109413.13333333333,128491.74066488205
CAMBRIDGE,110893,14462,8806,66,74490,3980,94300,12738,9049,21787,72513,105162.0,105162.0,0.0,0.0,23758.97078409092,96468.08641975309,129963.8306557746
CANTON,22829,4471,976,19,16286,482,22503,1348,1277,2625,19878,21561.0,21561.0,0.0,0.0,2375.343609090909,95860.09090909091,125642.42598347082
CARLISLE,5160,1212,251,0,3616,86,5160,83,116,199,4961,4852.0,4852.0,0.0,0.0,344.63295,172634.0,252380.83414558452
CARVER,11617,2787,528,12,8450,878,11594,530,1676,2206,9388,11509.0,11509.0,0.0,0.0,421.10613750000005,79661.375,89054.10151703263
CHARLTON,13379,1741,552,0,9236,397,13220,618,832,1450,11770,12981.0,12981.0,0.0,0.0,325.24519999999995,89875.6,103546.55000397234
CHATHAM,5166,2217,170,3,4092,128,5033,509,490,999,4034,6125.0,5288.0,-837.0,13.66530612244898,606.3080428571428,75654.5,96552.44946992517
CHELMSFORD,35067,7918,1353,21,25584,1073,34945,1260,2015,3275,31670,33802.0,33802.0,0.0,0.0,1807.4419772727272,109074.0,128458.99825579357
CHELSEA,39272,4121,1656,179,25845,7804,38847,7586,9746,17332,21515,35177.0,35177.0,0.0,0.0,30236.970333333335,55295.666666666664,65642.5878532573
CHESHIRE,3169,979,149,5,2404,157,3169,126,370,496,2673,3235.0,3235.0,0.0,0.0,386.23591333333326,63138.0,75714.10474621
CHESTER,1529,228,65,0,1113,103,1511,97,213,310,1201,1337.0,1337.0,0.0,0.0,41.76057,76250.0,83045.2991452991
CHESTERFIELD,1303,217,60,0,919,82,1303,77,122,199,1104,1222.0,1222.0,0.0,0.0,42.22868,74412.0,91023.41269841269
CHICOPEE,55778,11408,2856,210,39360,5751,54968,7939,10794,18733,36235,55298.0,55298.0,0.0,0.0,4493.041004651164,52445.87804878049,62467.644993719136
CHILMARK,446,96,31,0,335,4,440,80,16,96,344,866.0,457.0,-409.0,47.22863741339492,49.73381,79375.0,176154.166666667
CLARKSBURG,1722,494,48,0,1240,88,1719,164,228,392,1327,1702.0,1702.0,0.0,0.0,162.10163,60558.0,72516.15109427611
CLINTON,13855,2080,503,0,9706,736,13839,826,1760,2586,11253,13606.0,13606.0,0.0,0.0,3736.49708,70263.3,77832.41529677517
COHASSET,7429,1327,308,0,5093,98,7371,275,313,588,6783,7542.0,6229.0,-1313.0,17.409175285070273,1201.5759000000003,157385.6,201613.461970223
COLRAIN,1146,230,39,4,880,55,1146,138,106,244,902,1671.0,1195.0,-476.0,28.48593656493118,41.52236,54828.0,68594.22310756969
CONCORD,19357,4384,812,0,13925,752,17408,1088,613,1701,15707,17668.0,17668.0,0.0,0.0,1384.6776307692307,144727.08333333334,196529.49627055108
CONWAY,1800,448,47,0,1336,11,1772,40,115,155,1617,1897.0,1897.0,0.0,0.0,47.760329999999996,100398.0,125280.24691358
CUMMINGTON,860,253,27,0,667,16,856,45,226,271,585,872.0,872.0,0.0,0.0,37.54762,52500.0,63629.767441860495
DALTON,6657,1528,269,0,5128,235,6551,678,563,1241,5310,6756.0,6756.0,0.0,0.0,1599.0811142857144,58240.42857142857,76390.73019988547
DANVERS,27527,6258,1272,15,20093,1173,26912,1692,2819,4511,22401,26493.0,26493.0,0.0,0.0,2977.3029,79914.5,99928.11176055811
DARTMOUTH,34341,7495,3267,65,22567,3502,28583,2354,2905,5259,23324,34032.0,34032.0,0.0,0.0,1379.237868421053,80627.11111111111,104840.41480678407
DEDHAM,25377,5921,1157,50,18511,1188,24352,1221,2327,3548,20804,24729.0,24729.0,0.0,0.0,4373.652399999999,98110.0,118015.1259464848
DEERFIELD,5049,1066,133,0,3798,130,4932,409,471,880,4052,5125.0,5125.0,0.0,0.0,315.86104249999994,77957.25,91878.37927498162
DENNIS,13804,6539,388,7,11419,416,13656,1491,1968,3459,10197,14207.0,13778.0,-429.0,3.019638206517913,878.4687588235292,57724.9375,80706.95671227128
DIGHTON,7438,1335,420,0,5308,305,7372,286,680,966,6406,7086.0,7086.0,0.0,0.0,473.33113999999995,93969.4,100704.46307995747
DOUGLAS,8722,1012,541,54,5755,178,8701,361,543,904,7797,8471.0,8471.0,0.0,0.0,346.256475,96363.25,106461.69671202298
DOVER,5922,1156,403,12,3862,65,5922,45,63,108,5814,5589.0,5589.0,0.0,0.0,543.316375,203026.75,316351.85877350374
DRACUT,31113,5550,1512,70,21592,1872,31043,2221,3604,5825,25218,29457.0,29457.0,0.0,0.0,2552.8675,92849.8125,97360.42608425539
DUDLEY,11637,1538,1104,24,7377,612,10580,820,1710,2530,8050,11390.0,11390.0,0.0,0.0,1258.6627142857142,72832.85714285714,90800.5837828491
DUNSTABLE,3337,569,235,0,2217,82,3337,70,108,178,3159,3179.0,3179.0,0.0,0.0,195.47975,139333.5,166618.936385033
DUXBURY,14637,3099,733,16,9766,103,14527,617,886,1503,13024,15059.0,14069.0,-990.0,6.574141709276844,913.6414777777778,126754.55555555556,164756.5710882459
EAST BRIDGEWATER,14860,2705,802,0,10018,427,14735,967,1281,2248,12487,13794.0,14450.0,656.0,4.755690880092794,1006.2316999999999,91721.6,104749.52226688885
EAST BROOKFIELD,956,166,35,0,708,57,956,24,96,120,836,2183.0,860.0,-1323.0,60.60467246907925,115.7918,87917.0,113365.489130435
EAST LONGMEADOW,16156,3613,715,0,11501,653,15731,708,1971,2679,13052,15720.0,15720.0,0.0,0.0,1757.3222888888888,82912.44444444444,98052.2911793245
EASTHAM,4908,2242,194,31,4026,155,4870,321,559,880,3990,4956.0,4956.0,0.0,0.0,389.87445,63265.333333333336,78360.21336767358
EASTHAMPTON,16051,3197,687,0,12420,632,15989,1705,1677,3382,12607,16053.0,16053.0,0.0,0.0,2836.0722,64142.63636363636,76639.38825261303
EASTON,24001,3963,1986,11,15475,620,22066,1047,1384,2431,19635,23112.0,23112.0,0.0,0.0,876.5094727272729,109638.72727272728,128540.60581047097
EDGARTOWN,4292,746,257,0,3080,100,4250,217,527,744,3506,4067.0,4067.0,0.0,0.0,226.9134525,97503.5,196054.97580698578
ERVING,1498,350,51,0,1112,57,1471,138,121,259,1212,1800.0,1609.0,-191.0,10.611111111111109,141.7503,67596.0,71068.6567164179
ESSEX,3687,749,159,0,2613,46,3675,228,258,486,3189,3504.0,3504.0,0.0,0.0,348.47900000000004,111547.66666666667,131712.14141911632
EVERETT,45212,5667,2187,216,30476,6128,44958,6255,9139,15394,29564,41667.0,41667.0,0.0,0.0,20555.43562962963,57043.96,70511.3952050871
FAIRHAVEN,16027,4022,532,0,11868,1278,15641,1430,1954,3384,12257,15873.0,15873.0,0.0,0.0,3507.61866,61017.92857142857,77926.4110411773
FALL RIVER,85548,15767,3626,110,59247,16264,84071,17183,19849,37032,47039,88857.0,84996.0,-3861.0,4.345183834700703,11689.474891139242,42534.76,52921.97816363314
FALMOUTH,30702,10759,1123,44,23871,1474,30120,1904,4302,6206,23914,31531.0,31021.0,-510.0,1.6174558371126835,1035.081532,71471.2,93642.8770682666
FITCHBURG,40666,6653,2830,106,25936,4564,38780,6961,6785,13746,25034,40318.0,40318.0,0.0,0.0,5152.443868750001,54337.4,63333.75207768864
FLORIDA,816,152,37,0,593,54,816,106,98,204,612,752.0,752.0,0.0,0.0,33.49628,58125.0,65415.0887573965
FOXBOROUGH,17448,3193,664,0,12442,670,17406,849,1131,1980,15426,16865.0,16865.0,0.0,0.0,1275.8104727272728,107066.72727272728,126019.55188899943
FRAMINGHAM,71232,11768,4039,48,49651,5131,68246,7865,10285,18150,50096,68318.0,68318.0,0.0,0.0,4704.415484444445,87307.09302325582,101024.97182394903
FRANKLIN,32843,4386,2414,0,21103,823,31780,1380,1745,3125,28655,31635.0,31635.0,0.0,0.0,2183.955364705882,123984.23529411765,141481.81914252765
FREETOWN,8273,1599,258,0,6045,670,8094,410,862,1272,6822,8870.0,8030.0,-840.0,9.470124013528748,284.70335,89442.2,104000.07019652899
GARDNER,20496,3514,860,87,14496,1779,19349,3222,3295,6517,12832,20228.0,20228.0,0.0,0.0,2842.1568461538463,52498.769230769234,64262.28197533568
GEORGETOWN,8569,1521,447,10,6055,144,8561,292,429,721,7840,8183.0,8183.0,0.0,0.0,953.8694333333333,111417.6,120730.72919333876
GILL,2537,683,175,45,2001,68,2532,187,414,601,1931,1500.0,2393.0,893.0,59.53333333333333,1111.6718999999998,59096.0,68083.74721906155
GLOUCESTER,29858,7011,1373,39,22727,2066,29614,2507,4547,7054,22560,28789.0,28789.0,0.0,0.0,5182.773486956522,69165.40909090909,88672.66177444228
GOSHEN,1096,208,62,0,818,33,1096,26,101,127,969,1054.0,1054.0,0.0,0.0,63.33606999999999,79519.0,87147.32142857139
GOSNOLD,34,15,0,0,34,0,34,2,0,2,32,75.0,75.0,0.0,0.0,2.57837,,130011.111111111
GRAFTON,18517,2868,866,1,13002,536,18402,1058,1172,2230,16172,17765.0,17765.0,0.0,0.0,1133.5026699999999,97829.4,119230.12450701997
GRANBY,6318,996,235,0,4736,349,6260,342,534,876,5384,6240.0,6240.0,0.0,0.0,267.036975,91346.75,101605.51874046682
GRANVILLE,1660,302,89,0,1208,49,1644,138,108,246,1398,1566.0,1566.0,0.0,0.0,39.3381,86000.0,93351.4802631579
GREAT BARRINGTON,6915,1521,799,108,4625,508,5911,306,1017,1323,4588,7104.0,7104.0,0.0,0.0,997.7307385714286,60402.57142857143,78518.03711829834
GREENFIELD,17474,3795,791,16,12999,974,16843,2216,3638,5854,10989,17456.0,17456.0,0.0,0.0,2703.5156294117655,55142.875,66082.49615047923
GROTON,11282,1986,791,11,7781,131,11198,483,633,1116,10082,10646.0,10646.0,0.0,0.0,355.46102,126234.0,146792.82837465982
GROVELAND,6697,1246,457,23,4496,149,6697,162,705,867,5830,6459.0,6459.0,0.0,0.0,1094.8297666666667,88044.66666666667,107540.31631587511
HADLEY,5301,1460,274,10,4185,155,5164,280,852,1132,4032,5250.0,5250.0,0.0,0.0,325.11715000000004,59029.25,95609.56794337295
HALIFAX,7739,1432,396,0,5462,264,7699,356,811,1167,6532,7518.0,7518.0,0.0,0.0,635.69992,75419.4,89423.55635276136
HAMILTON,7991,1294,429,0,5247,82,7824,796,449,1245,6579,7764.0,7764.0,0.0,0.0,1714.5683142857142,106141.42857142857,128648.96137196808
HAMPDEN,5193,1378,259,0,3827,248,5089,206,392,598,4491,5139.0,5139.0,0.0,0.0,357.6955,78133.5,104080.36937571107
HANCOCK,639,150,17,0,523,14,639,19,44,63,576,717.0,717.0,0.0,0.0,17.91629,71875.0,81009.2
HANOVER,14328,2744,825,54,9432,338,14179,552,1160,1712,12467,13879.0,13879.0,0.0,0.0,933.1831333333333,112872.85714285714,133937.48882754496
HANSON,10560,1885,700,21,7399,435,10532,362,691,1053,9479,10209.0,10209.0,0.0,0.0,848.4990874999999,99075.0,108669.20816992948
HARDWICK,3024,765,155,1,2130,142,2913,349,525,874,2039,2990.0,2990.0,0.0,0.0,233.72018,51364.5,66923.56302027474
HARVARD,6542,1216,291,11,4893,107,5471,286,285,571,4900,6520.0,6520.0,0.0,0.0,246.60371666666666,127100.0,159227.27768032046
HARWICH,12143,4561,463,0,9523,356,11909,796,1577,2373,9536,12243.0,12243.0,0.0,0.0,633.6968750000001,69358.0,86593.95046827523
HATFIELD,3305,1052,149,0,2695,71,3305,144,318,462,2843,3279.0,3279.0,0.0,0.0,304.7561,65251.333333333336,82340.07666685172
HAVERHILL,62943,9035,2844,137,43391,4648,61900,7784,9682,17466,44434,60879.0,60879.0,0.0,0.0,5664.614194999999,71798.56410256411,85567.05108108264
HAWLEY,976,267,42,0,742,70,973,115,153,268,705,337.0,897.0,560.0,166.1721068249258,22.51535,59167.0,71880.1507537688
HEATH,1255,330,42,0,873,86,1235,197,277,474,761,706.0,1182.0,476.0,67.42209631728045,31.0496,52708.0,74171.4579055441
HINGHAM,23047,5578,1106,13,15996,232,22769,1299,1278,2577,20192,22157.0,22157.0,0.0,0.0,1597.9662,140785.91666666666,208382.657234833
HINSDALE,1970,413,108,0,1485,78,1961,153,97,250,1711,2032.0,2032.0,0.0,0.0,339.89241,61979.0,76834.9304029304
HOLBROOK,11029,2140,691,12,8234,376,11005,734,830,1564,9441,10791.0,10791.0,0.0,0.0,1921.5339333333332,73617.0,88366.34945074013
HOLDEN,18558,3495,1088,14,12780,387,18407,861,1253,2114,16293,17346.0,17346.0,0.0,0.0,1397.0921615384614,101361.84615384616,119425.81618146645
HOLLAND,2510,457,134,0,1763,100,2506,103,320,423,2083,2481.0,2481.0,0.0,0.0,275.34355,78362.0,89840.3772933383
HOLLISTON,14480,2302,664,0,9871,333,14420,209,935,1144,13276,13547.0,13547.0,0.0,0.0,958.4290090909091,120640.54545454546,145596.90139288077
HOLYOKE,40362,6570,2171,215,26875,5644,39244,11228,8439,19667,19577,39880.0,39880.0,0.0,0.0,8533.356602702703,43044.77142857143,54372.23230075448
HOPEDALE,5955,1038,469,18,4166,274,5896,250,324,574,5322,5911.0,5911.0,0.0,0.0,1303.1204666666667,97991.66666666667,101931.1332725262
HOPKINTON,16720,2034,971,3,11142,339,16639,250,693,943,15696,14925.0,14925.0,0.0,0.0,860.7308428571429,154326.0,172252.30754504498
HUBBARDSTON,4581,648,238,0,3161,127,4581,109,544,653,3928,4382.0,4382.0,0.0,0.0,106.00876,86577.0,100209.36739893
HUDSON,19843,4264,936,83,14575,1416,19796,1174,1683,2857,16939,19063.0,19063.0,0.0,0.0,2518.1962083333333,89813.75,103992.45396647388
HULL,7702,2299,313,9,6458,294,7702,323,1019,1342,6360,10293.0,7584.0,-2709.0,26.318857475954534,6313.324333333333,74927.16666666667,93830.8557983202
HUNTINGTON,1977,375,88,5,1458,85,1977,159,277,436,1541,2180.0,2180.0,0.0,0.0,119.850975,67639.0,69768.11280276816
IPSWICH,11242,2731,632,0,8097,257,11163,784,1125,1909,9254,13175.0,10919.0,-2256.0,17.123339658444024,1966.1850285714283,78064.85714285714,108553.08617595512
KINGSTON,13210,2557,721,35,8941,443,12978,852,778,1630,11348,12629.0,12629.0,0.0,0.0,1140.638188888889,98433.55555555556,101512.57167575863
LAKEVILLE,12147,2059,668,14,8604,509,12051,474,897,1371,10680,10602.0,11442.0,840.0,7.92303338992643,409.92819999999995,98286.85714285714,113849.48593262098
LANCASTER,7978,1380,596,33,5674,720,6627,351,151,502,6125,8055.0,8055.0,0.0,0.0,598.10015,104127.75,119210.97012657573
LANESBOROUGH,3004,637,84,0,2154,70,3004,148,163,311,2693,3091.0,3091.0,0.0,0.0,296.32092,78287.66666666667,84107.5009977259
LAWRENCE,79497,9018,5087,314,48469,15673,78430,18983,22273,41256,37174,76377.0,76377.0,0.0,0.0,18201.187963636363,41461.58490566038,51743.21006609063
LEE,5796,1686,168,0,4215,458,5625,451,604,1055,4570,5943.0,5943.0,0.0,0.0,569.8706666666667,75584.5,81195.74143944781
LEICESTER,11277,2280,763,0,8179,829,10833,608,1220,1828,9005,10970.0,10970.0,0.0,0.0,621.0040875,76786.25,92572.66143805902
LENOX,4994,1974,241,0,3929,145,4695,180,488,668,4027,5025.0,5025.0,0.0,0.0,556.9015471428571,73080.25,110833.09772057025
LEOMINSTER,41446,8124,2140,101,28747,3926,41035,5511,6703,12214,28821,40759.0,40759.0,0.0,0.0,3574.3109846153843,61588.28,76865.29848417762
LEVERETT,1997,627,73,4,1505,42,1997,120,151,271,1726,1851.0,1851.0,0.0,0.0,87.55906,87174.0,116107.701711491
LEXINGTON,33339,6789,1815,11,22901,474,32961,1198,1509,2707,30254,31394.0,31394.0,0.0,0.0,2492.6589863636364,161038.77272727274,210971.44125244682
LEYDEN,1793,443,74,0,1365,71,1780,204,201,405,1375,711.0,1822.0,1111.0,156.25879043600563,62.06363,65588.0,81706.330749354
LINCOLN,6696,1290,276,0,4477,63,6677,183,500,683,5994,6362.0,6362.0,0.0,0.0,775.7740000000001,148426.0,213715.05702346665
LITTLETON,9754,1712,535,0,6970,179,9625,370,678,1048,8577,8924.0,8924.0,0.0,0.0,902.4353000000001,122943.16666666667,138535.13646295425
LONGMEADOW,15876,3607,1055,34,10941,396,15147,549,798,1347,13800,15784.0,15784.0,0.0,0.0,2014.1767750000001,119052.125,161068.55826624163
LOWELL,110964,13040,7151,277,70869,14284,105940,23776,20264,44040,61900,106519.0,106519.0,0.0,0.0,12778.431537499999,53483.81081081081,65187.727190457575
LUDLOW,21331,4079,1013,22,15850,2589,20585,1195,2287,3482,17103,21103.0,21103.0,0.0,0.0,2288.1957272727273,65449.818181818184,81658.65858677113
LUNENBURG,11150,2082,596,2,7838,504,10957,912,712,1624,9333,10086.0,10086.0,0.0,0.0,519.7881333333333,99216.66666666667,113492.99393410578
LYNN,91817,12037,4623,245,59799,12493,91211,16773,16857,33630,57581,90329.0,89150.0,-1179.0,1.3052286641056565,16677.71043943662,58308.16176470588,71631.29519947423
LYNNFIELD,12732,3002,686,0,8770,315,12699,228,474,702,11997,11596.0,11596.0,0.0,0.0,1810.7782222222222,121269.11111111111,151298.3445936766
MALDEN,61212,8687,1863,76,43969,5927,61072,9695,9939,19634,41438,59450.0,59450.0,0.0,0.0,15701.413076923072,66458.85416666667,78240.49060063821
MANCHESTER,5327,1459,179,0,3974,105,5326,197,327,524,4802,5136.0,5136.0,0.0,0.0,886.24058,113122.2,164876.5349338172
MANSFIELD,23678,2603,1314,31,16030,409,23606,639,1478,2117,21489,23184.0,23184.0,0.0,0.0,1966.651014285714,116948.35714285714,133365.61446226618
MARBLEHEAD,20393,5386,1062,0,14727,347,20276,930,1149,2079,18197,19808.0,19808.0,0.0,0.0,5818.620150000001,118758.9,165125.03276142658
MARION,5065,1602,213,41,3680,192,4929,274,617,891,4038,4907.0,4907.0,0.0,0.0,572.40782,75592.0,131487.2134905387
MARLBOROUGH,39771,6257,1728,18,28492,2397,39304,2553,5291,7844,31460,38499.0,38499.0,0.0,0.0,3963.6891952380947,78251.6,96155.64135300074
MARSHFIELD,26606,5148,1797,147,18232,797,26593,1653,2168,3821,22772,25132.0,26097.0,965.0,3.83972624542416,1113.893872222222,101455.82352941176,126077.5184322551
MASHPEE,14054,4923,691,0,10910,411,13916,849,1647,2496,11420,14006.0,14004.0,-2.0,0.01427959445951735,735.8350625,77576.75,95487.17513039685
MATTAPOISETT,6245,1518,362,0,4489,115,6245,288,446,734,5511,6045.0,6045.0,0.0,0.0,580.0351833333333,87293.16666666667,127198.57445116533
MAYNARD,10560,1946,349,25,7813,302,10481,848,651,1499,8982,10106.0,10106.0,0.0,0.0,2903.5645285714286,94304.5,112975.78180588188
