town,x,y
wellesley,-73.6521688709407,34.24474844151052
needham,-73.65216838770336,34.24474824670703
petersham,-73.65217897342059,34.24474961813453
reading,-73.65216699954836,34.244750542487346
quincy,-73.65216600598622,34.24474802070611
chesterfield,-73.65218565770209,34.244748827652764
southborough,-73.6521714960558,34.24474835855299
milford,-73.65217133979093,34.244747069272314
boylston,-73.6521735708682,34.24474880785998
plainville,-73.65216934009042,34.24474583871421
new bedford,-73.65216502918089,34.2447428658564
marblehead,-73.65216439269288,34.244750274865474
longmeadow,-73.65218263398155,34.24474585902716
granville,-73.65218626327209,34.24474608779051
webster,-73.6521748565912,34.244746062262436
southbridge,-73.6521768510813,34.24474609527562
salisbury,-73.65216446546137,34.244753403334116
amherst,-73.65218202054025,34.24474870353944
concord,-73.65216975691798,34.24474983168933
windsor,-73.65218782993624,34.24474991437078
taunton,-73.65216670747324,34.244744906872235
wareham,-73.65216245042218,34.24474379426669
north brookfield,-73.65217738284234,34.244747952137125
charlton,-73.65217616452891,34.24474677666728
randolph,-73.65216634763996,34.24474736449925
sheffield,-73.65219112229164,34.24474616805516
newburyport,-73.65216481256923,34.24475306310447
maynard,-73.65217073914954,34.24474949323425
tewksbury,-73.65216833508826,34.24475120231876
fitchburg,-73.65217464933446,34.24475088420121
lancaster,-73.65217317043822,34.244749936528414
dighton,-73.65216735178625,34.24474429354542
chelsea,-73.65216617724762,34.244749321634906
athol,-73.65217897082259,34.244750730053376
cheshire,-73.65218900290263,34.24475033863577
essex,-73.65216351886288,34.24475148232184
ware,-73.6521796050826,34.24474800511497
nantucket,-73.65215556027208,34.24473955553036
egremont,-73.65219199471414,34.24474675915775
deerfield,-73.65218316929618,34.2447500871318
conway,-73.65218420526773,34.244749941531765
dalton,-73.65218900259131,34.24474958530761
peabody,-73.65216556811504,34.244750558776964
agawam,-73.65218350598069,34.24474600311056
medfield,-73.65216904879568,34.24474737016059
worcester,-73.65217447990074,34.24474802226818
swampscott,-73.65216484516067,34.2447500574346
wayland,-73.65216968059462,34.244748909160094
falmouth,-73.65216122636414,34.24474225197435
hubbardston,-73.6521766581589,34.24474988199629
fairhaven,-73.65216424397052,34.2447426000288
sandwich,-73.65216010364611,34.24474334453182
marshfield,-73.65216268847915,34.24474686406535
goshen,-73.65218526296006,34.24474933261321
northborough,-73.65217275523483,34.244748528438286
acushnet,-73.65216457884793,34.244743257235605
marion,-73.65216311322428,34.24474324591397
burlington,-73.65216803476945,34.24475022681776
lenox,-73.65219029247514,34.24474859419777
hawley,-73.65218637759284,34.24475058145961
becket,-73.65218819668861,34.24474786376404
great barrington,-73.65219095415156,34.24474714489572
rowe,-73.65218647681338,34.24475159640192
middlefield,-73.65218748877814,34.24474847211081
groton,-73.65217192224381,34.24475114176301
truro,-73.65215567175034,34.244746097643954
winchendon,-73.65217717675739,34.244751506093465
wellfleet,-73.65215510272427,34.24474534972062
ashburnham,-73.65217584631732,34.24475146446338
amesbury,-73.65216535543881,34.24475341741798
hancock,-73.65219080679073,34.244750010034004
westborough,-73.65217239429968,34.24474804455805
nahant,-73.65216504077333,34.2447496352367
wenham,-73.65216462030882,34.24475117976153
west bridgewater,-73.65216601192684,34.24474597358616
carlisle,-73.65216964001226,34.24475044209935
saugus,-73.65216601406671,34.24474997273875
lexington,-73.65216832074717,34.24474971582481
lanesborough,-73.65218994246004,34.244750031947945
plainfield,-73.65218654867533,34.24474998026267
sturbridge,-73.65217747296674,34.24474650357928
belmont,-73.65216775676005,34.244749284050165
gosnold,-73.65216339807394,34.24474105279833
peru,-73.65218777074473,34.24474916228254
sherborn,-73.65216981833453,34.24474779500111
middleborough,-73.65216433635122,34.24474474835214
fall river,-73.65216670485547,34.244743207316496
warwick,-73.65218031714653,34.24475153242489
milton,-73.65216669122695,34.24474792393781
adams,-73.65218867084316,34.24475090851018
millis,-73.65216966353307,34.2447472187766
brimfield,-73.65217872382183,34.2447466653747
west stockbridge,-73.652191482671,34.244748020747245
danvers,-73.65216534100435,34.244750931657116
otis,-73.65218820016982,34.244747138120594
colrain,-73.65218436480744,34.244751503676845
northfield,-73.65218145032506,34.244751497008615
plympton,-73.65216366339432,34.2447455051508
berkley,-73.65216646805301,34.24474431000708
kingston,-73.65216300997916,34.24474572139745
montague,-73.65218218875799,34.24475040133816
tyngsborough,-73.65217051335783,34.24475163993549
malden,-73.65216645499848,34.244749619771824
stoneham,-73.65216689257873,34.24474999997024
northampton,-73.65218381316222,34.24474832787846
braintree,-73.65216580191299,34.24474760593902
scituate,-73.65216320240036,34.24474761995476
bellingham,-73.65217083775576,34.24474637616879
dunstable,-73.65217128480758,34.24475171570173
savoy,-73.65218759640065,34.24475065778029
arlington,-73.65216759512128,34.2447494900096
hardwick,-73.65217888008037,34.24474868270618
mount washington,-73.65219226259956,34.24474607182235
ashby,-73.65217475398656,34.24475164418545
hull,-73.6521645338885,34.2447483829581
lawrence,-73.65216765771852,34.24475200466221
ludlow,-73.65218144887609,34.24474717539713
norfolk,-73.65216929402015,34.24474675296961
whitman,-73.65216509488283,34.244746516436216
clarksburg,-73.65218859257179,34.244751801897515
paxton,-73.65217583584112,34.24474835477099
westfield,-73.65218463909876,34.24474662677573
salem,-73.65216482247435,34.24475037685513
marlborough,-73.65217169364934,34.244748785232005
belchertown,-73.65218085228118,34.24474796204628
freetown,-73.6521658027345,34.24474374152093
florida,-73.65218756446436,34.24475140968913
worthington,-73.6521867123364,34.24474888113383
norwell,-73.65216380288862,34.24474726514372
brewster,-73.65215562541961,34.24474373419251
edgartown,-73.65216061491513,34.2447403596936
clinton,-73.65217323750264,34.244749311443535
stow,-73.65217133546429,34.24474951144231
attleboro,-73.65216887134292,34.24474510697513
harwich,-73.65215562580757,34.244743281416426
stoughton,-73.65216684737634,34.24474683005459
somerset,-73.6521673307147,34.244743517229466
newbury,-73.65216460726235,34.24475269999772
hanover,-73.65216421105198,34.24474691383951
uxbridge,-73.65217259556547,34.24474617396849
hadley,-73.6521826887021,34.24474861056211
north adams,-73.65218866362822,34.244751422819796
mansfield,-73.65216807494676,34.24474588445522
bernardston,-73.65218256245308,34.24475161532146
dracut,-73.65216914030385,34.24475182195335
shutesbury,-73.65218110405962,34.24474954604367
franklin,-73.65217016483133,34.244746465737784
westminster,-73.65217557453036,34.244750507236695
leominster,-73.65217415787214,34.24475026581871
revere,-73.65216586677744,34.24474952432462
wrentham,-73.65216955180122,34.24474616698819
avon,-73.65216628303622,34.24474690847841
halifax,-73.65216424642938,34.244745742504854
newton,-73.65216805033734,34.244748702634396
ipswich,-73.65216424432731,34.244751927362785
cohasset,-73.6521638479035,34.24474793065572
auburn,-73.65217486141897,34.244747359263066
chicopee,-73.65218266833786,34.24474700932918
hamilton,-73.65216436174344,34.24475141632627
plymouth,-73.65216171809996,34.24474477658988
barre,-73.65217772673667,34.24474929053503
bolton,-73.6521723673185,34.244749546362954
orange,-73.65217978749587,34.24475091342395
dartmouth,-73.65216559206472,34.244742357349
cummington,-73.65218648508115,34.244749491516494
granby,-73.65218195755804,34.244747778703726
lee,-73.65218982335685,34.24474798179114
sterling,-73.6521741502398,34.24474955442086
wilbraham,-73.65218113859493,34.24474660009578
georgetown,-73.65216572331275,34.24475225753276
carver,-73.65216306457344,34.24474471735903
eastham,-73.65215469865427,34.244744602886044
melrose,-73.65216647729206,34.24474984364327
manchester,-73.65216339441885,34.24475104218127
pepperell,-73.65217239782906,34.24475164592184
woburn,-73.6521675100296,34.244750101327995
sutton,-73.65217382287062,34.24474681348743
framingham,-73.65217049909513,34.244748445214164
warren,-73.65217868307383,34.24474730542989
charlemont,-73.65218594495138,34.24475108494346
west springfield,-73.65218349728148,34.24474653576667
new braintree,-73.65217793401118,34.24474838558493
dedham,-73.6521676962935,34.24474795078519
princeton,-73.652175318969,34.24474966616819
lunenburg,-73.65217361993147,34.244750891807044
groveland,-73.65216608314545,34.244752499981054
millbury,-73.6521740946576,34.24474733260024
pelham,-73.65218105238274,34.24474886976489
wakefield,-73.65216656105486,34.24475026978662
rockland,-73.65216478686283,34.24474696517432
seekonk,-73.65216908848616,34.244744268676946
templeton,-73.65217741701602,34.24475062410361
palmer,-73.65217986858953,34.24474717891492
foxborough,-73.65216838271017,34.24474629264755
lincoln,-73.65216915358292,34.24474952851657
east bridgewater,-73.6521651091974,34.24474611537791
lakeville,-73.65216523661854,34.24474428893318
royalston,-73.65217865724473,34.24475160132314
watertown,-73.65216772739234,34.24474905218536
easton,-73.65216691504367,34.244746087116255
natick,-73.65216955660291,34.24474825209221
brockton,-73.65216600154866,34.24474651588846
wendell,-73.6521809761981,34.24475041472663
westford,-73.65217061006156,34.2447509257233
north reading,-73.65216681858517,34.24475096179974
tisbury,-73.65216147256474,34.24474098920879
acton,-73.65217055772163,34.24475001447185
middleton,-73.65216605997207,34.24475118108857
tyringham,-73.6521894157545,34.2447475019589
hingham,-73.65216453970527,34.244747744050336
wilmington,-73.65216764989555,34.24475075992967
richmond,-73.65219119035734,34.24474871088091
douglas,-73.65217381379024,34.24474608712726
abington,-73.65216531075917,34.24474685189608
chilmark,-73.65216262194895,34.24474007145411
southwick,-73.65218485775637,34.24474587359719
yarmouth,-73.65215728983546,34.2447430933271
alford,-73.65219187090167,34.2447474619321
hanson,-73.65216436148395,34.24474631530786
medway,-73.65217037401165,34.24474706281238
west brookfield,-73.65217826137768,34.24474779601852
new salem,-73.65218010779672,34.24474952957506
chatham,-73.65215469450841,34.24474303132772
waltham,-73.65216843017176,34.24474920676189
holbrook,-73.65216582018445,34.244747100378994
holyoke,-73.652183422785,34.244747316420835
new ashford,-73.65218979805431,34.24475072247198
new marlborough,-73.6521898320921,34.244746184566274
montgomery,-73.65218534889617,34.244747245097855
andover,-73.65216766954953,34.24475152470867
east brookfield,-73.65217702912453,34.244747367732
north attleborough,-73.65216930735743,34.244745444561595
weymouth,-73.65216520514434,34.24474754089165
westhampton,-73.6521849257166,34.244748155327606
west boylston,-73.65217425518901,34.24474890666319
spencer,-73.652176451527,34.244747771934556
gill,-73.65218213946272,34.244751106884756
dennis,-73.6521566552654,34.24474337288694
leverett,-73.6521818415467,34.244749682403324
phillipston,-73.65217807815628,34.244750468529915
chelmsford,-73.65216978643066,34.24475106408168
south hadley,-73.65218277028615,34.244747724766874
williamsburg,-73.65218442509449,34.24474899220732
brookfield,-73.65217764686395,34.24474726877788
leicester,-73.65217559071985,34.24474772599449
hinsdale,-73.65218856113866,34.244749195073055
shrewsbury,-73.65217348896417,34.24474816509023
provincetown,-73.65215711548373,34.244746513446096
upton,-73.65217226521908,34.24474723362932
billerica,-73.6521687445613,34.24475071696845
rochester,-73.65216391736581,34.244743681807904
harvard,-73.65217214982809,34.24475017405123
rehoboth,-73.65216831744237,34.244744339702144
shirley,-73.6521728323418,34.244750754913866
buckland,-73.65218510536842,34.24475066912212
hatfield,-73.65218326209134,34.244748886933834
boxborough,-73.65217141924306,34.24475003273619
holden,-73.65217507118382,34.244748774706785
methuen,-73.65216794876264,34.244752300024615
ashfield,-73.65218528536751,34.24475002627562
swansea,-73.65216792752436,34.244743606368715
springfield,-73.6521823040881,34.24474647302975
bedford,-73.65216884636284,34.24475016325749
ashland,-73.6521708281492,34.244747980118944
monroe,-73.65218723297993,34.24475179461108
oakham,-73.65217706185454,34.24474867834681
easthampton,-73.65218376978221,34.244747779291764
north andover,-73.65216683166925,34.24475176376184
norton,-73.65216768984754,34.24474542577629
hampden,-73.65218095812946,34.244746039694384
sunderland,-73.6521825613209,34.24474959139065
leyden,-73.65218339657612,34.2447516348839
huntington,-73.6521857414693,34.24474791000583
dudley,-73.65217578953973,34.24474606892121
brookline,-73.65216732109835,34.24474865231516
west newbury,-73.6521656023054,34.244752884678746
littleton,-73.65217112337145,34.244750455786466
oak bluffs,-73.65216106763668,34.24474085408869
rutland,-73.65217622403058,34.244749006780566
mattapoisett,-73.65216366373944,34.2447428772619
westport,-73.65216652156712,34.244742142231104
haverhill,-73.65216686905462,34.24475276848753
heath,-73.65218547788167,34.24475153538242
sudbury,-73.65217037586281,34.24474912831287
rowley,-73.6521647827605,34.2447522507945
whately,-73.6521835195836,34.24474933200724
bourne,-73.65216110565329,34.244743412904896
washington,-73.65218899122452,34.24474856817832
williamstown,-73.6521898649662,34.24475140092999
shelburne,-73.6521839836882,34.24475079769902
aquinnah,-73.65216343916286,34.24473992253946
east longmeadow,-73.65218185387975,34.244745984512484
southampton,-73.65218447578312,34.24474745799702
gardner,-73.65217648781726,34.24475078560489
raynham,-73.65216616977096,34.244745164694784
rockport,-73.65216184104338,34.24475171734431
weston,-73.65216904318444,34.24474892597966
monson,-73.65218000346745,34.24474632352837
sandisfield,-73.65218857481503,34.24474627800256
erving,-73.65218125022102,34.24475089200614
monterey,-73.65218972057295,34.24474698833759
west tisbury,-73.6521618420191,34.24474051000218
townsend,-73.65217355138503,34.24475158374871
winthrop,-73.65216564509844,34.24474914650995
stockbridge,-73.65219079538069,34.244747966599995
orleans,-73.65215459976355,34.24474399393671
ayer,-73.65217201964757,34.24475068520403
oxford,-73.65217507139153,34.244746741259476
pittsfield,-73.6521901478528,34.24474931261291
hopkinton,-73.65217156313551,34.24474768098787
russell,-73.6521857286289,34.24474681913869
merrimac,-73.65216607630589,34.2447532746683
northbridge,-73.65217279436882,34.24474680187739
blandford,-73.65218676092661,34.244747017243945
holliston,-73.65217055750848,34.244747454050575
greenfield,-73.65218307423778,34.24475091121191
grafton,-73.65217312783506,34.24474749663102
blackstone,-73.65217144225642,34.24474602531289
medford,-73.65216700842319,34.24474954930308
lowell,-73.65216935175485,34.24475142080354
beverly,-73.65216438994376,34.24475089854776
gloucester,-73.65216255576605,34.24475143968597
chester,-73.65218665843419,34.24474795088601
winchester,-73.6521674149446,34.24474978979015
millville,-73.65217194116222,34.24474600672511
bridgewater,-73.65216544177922,34.24474555159065
tolland,-73.65218747919691,34.24474615241267
canton,-73.6521671259479,34.24474732364575
mashpee,-73.65216014144184,34.244742514778395
lynnfield,-73.65216627486444,34.244750562856574
barnstable,-73.65215876367022,34.24474300530297
dover,-73.65216883925785,34.24474783734251
mendon,-73.65217167407498,34.24474649489071
hudson,-73.65217170061328,34.24474913604499
westwood,-73.65216804368505,34.24474770785632
holland,-73.65217827222476,34.244746063119194
cambridge,-73.65216709540573,34.2447491180013
walpole,-73.65216850575328,34.24474703864469
berlin,-73.65217265671619,34.24474907229478
sharon,-73.65216771652183,34.244746716625784
lynn,-73.65216548474831,34.244750066781485
norwood,-73.652167864546,34.244747405938135
everett,-73.65216640671737,34.24474941344817
wales,-73.65217899690136,34.24474606697475
hopedale,-73.6521715057326,34.24474678207579
topsfield,-73.65216527460431,34.24475149188051
somerville,-73.65216691963714,34.24474925344526
pembroke,-73.6521636017664,34.24474641811542
duxbury,-73.65216269600076,34.24474626911405
boxford,-73.6521661079722,34.244751869737726
boston,-73.65216677052089,34.24474859013949
