city_death,2014,2015,2016,2017,2018
abington,0,6,1,3,5
acton,1,2,3,0,1
acushnet,0,4,2,4,0
adams,2,3,1,0,4
agawam,1,2,0,4,8
alford,0,0,0,0,0
amesbury,0,6,1,4,6
amherst,1,1,3,1,2
andover,5,2,3,2,2
aquinnah,0,0,0,0,0
arlington,5,4,2,1,2
ashburnham,0,1,1,0,0
ashby,1,0,0,1,0
ashfield,0,0,0,0,1
ashland,0,1,2,2,0
athol,2,2,4,5,10
attleboro,15,17,23,40,16
auburn,1,0,0,1,1
avon,2,0,1,1,2
ayer,2,1,10,3,2
barnstable,19,25,30,23,34
barre,0,0,0,0,1
becket,0,1,0,0,0
bedford,1,1,2,2,1
belchertown,1,0,1,3,6
bellingham,2,2,1,1,2
belmont,1,1,1,2,1
berkley,1,0,2,2,1
berlin,0,1,0,0,0
bernardston,0,0,0,0,0
beverly,12,14,28,17,12
billerica,6,7,9,8,8
blackstone,0,1,3,1,0
blandford,0,0,0,0,0
bolton,0,0,1,1,0
boston,167,226,259,279,245
bourne,2,4,6,1,4
boxborough,0,0,0,1,0
boxford,0,0,0,0,0
boylston,0,1,0,0,0
braintree,4,7,7,10,6
brewster,0,1,1,1,0
bridgewater,1,4,2,5,1
brimfield,0,0,0,0,2
brockton,45,88,69,71,51
brookfield,0,0,0,2,1
brookline,0,3,2,4,3
buckland,0,0,0,0,0
burlington,9,9,13,16,20
cambridge,18,24,41,21,19
canton,2,3,4,4,1
carlisle,0,0,0,0,0
carver,3,5,1,3,1
charlemont,0,0,0,0,0
charlton,0,0,1,3,0
chatham,1,1,0,0,0
chelmsford,1,3,3,5,3
chelsea,8,11,10,9,13
cheshire,0,0,0,0,3
chester,0,0,0,0,0
chesterfield,0,0,0,0,0
chicopee,5,8,16,10,17
chilmark,1,0,0,0,0
clarksburg,0,0,0,1,0
clinton,5,8,6,2,6
cohasset,2,0,1,0,0
colrain,0,0,0,0,0
concord,1,3,2,3,4
conway,0,0,0,0,0
cummington,0,0,0,0,0
dalton,0,0,1,0,0
danvers,3,7,3,3,4
dartmouth,3,3,7,3,4
dedham,2,2,4,0,6
deerfield,0,0,0,0,0
dennis,4,3,4,2,2
dighton,0,0,2,1,1
douglas,0,2,2,1,1
dover,0,0,0,0,0
dracut,3,7,4,3,7
dudley,1,1,1,1,3
dunstable,0,0,0,0,0
duxbury,0,0,2,0,0
east bridgewater,0,0,1,1,3
east brookfield,0,0,0,0,0
east longmeadow,0,1,1,2,0
eastham,2,1,0,1,0
easthampton,2,1,2,2,4
easton,4,4,3,3,4
edgartown,0,0,0,0,1
egremont,0,0,0,0,0
erving,0,0,0,0,0
essex,0,0,0,0,0
everett,35,43,40,34,28
fairhaven,1,5,5,4,3
fall river,49,43,85,64,67
falmouth,14,17,18,21,9
fitchburg,8,10,11,16,11
florida,0,0,0,0,0
foxborough,1,1,5,1,3
framingham,13,17,20,14,25
franklin,1,1,5,1,4
freetown,0,3,0,3,1
gardner,5,7,10,9,23
georgetown,0,1,1,1,1
gill,1,0,0,0,0
gloucester,3,11,9,17,16
goshen,1,0,0,0,0
gosnold,0,0,0,0,0
grafton,1,2,0,0,2
granby,1,0,1,0,0
granville,0,0,0,0,0
great barrington,2,1,1,0,0
greenfield,4,10,5,4,11
groton,0,1,0,1,0
groveland,0,0,1,1,0
hadley,1,0,2,0,1
halifax,0,0,0,1,2
hamilton,0,0,1,0,1
hampden,0,0,0,0,1
hancock,0,0,1,0,0
hanover,1,0,1,1,0
hanson,0,4,0,0,2
hardwick,0,2,1,0,0
harvard,0,0,0,0,1
harwich,0,3,1,1,1
hatfield,2,1,0,1,0
haverhill,30,25,37,24,24
hawley,0,0,0,0,0
heath,0,0,0,0,0
hingham,0,0,1,0,0
hinsdale,1,0,0,0,0
holbrook,2,3,1,5,4
holden,2,1,2,0,1
holland,0,0,0,0,0
holliston,0,1,1,0,1
holyoke,14,13,13,16,29
hopedale,0,0,2,0,1
hopkinton,1,3,1,3,3
hubbardston,1,0,0,0,1
hudson,0,4,2,2,3
hull,1,4,3,6,3
huntington,0,0,0,0,1
ipswich,3,3,2,4,4
kingston,1,1,0,5,2
lakeville,0,0,1,1,1
lancaster,1,1,1,3,0
lanesborough,0,1,1,0,1
lawrence,27,43,60,50,62
lee,0,1,0,2,1
leicester,0,1,1,2,2
lenox,0,0,0,1,1
leominster,20,22,30,28,24
leverett,0,0,0,1,0
lexington,3,4,0,0,1
leyden,0,0,0,0,0
lincoln,0,0,0,0,0
littleton,0,0,0,1,0
longmeadow,0,0,3,0,2
lowell,53,67,78,59,72
ludlow,1,0,3,6,3
lunenburg,1,0,0,0,1
lynn,42,42,45,65,48
lynnfield,2,2,0,3,2
malden,5,12,8,9,13
manchester,0,0,0,0,0
mansfield,1,1,6,4,2
marblehead,0,0,2,3,1
marion,1,0,1,1,1
marlborough,9,7,6,3,22
marshfield,2,0,2,6,5
mashpee,1,2,4,1,0
mattapoisett,0,0,2,1,4
maynard,1,1,0,1,1
medfield,0,0,1,0,1
medford,14,14,15,14,6
medway,0,1,1,0,2
melrose,12,17,21,19,19
mendon,0,1,0,0,1
merrimac,0,1,0,1,0
methuen,20,12,14,14,11
middleborough,3,6,3,5,4
middlefield,0,0,0,0,0
middleton,0,1,0,1,1
milford,14,9,20,14,16
millbury,0,1,3,2,3
millis,2,0,3,1,1
millville,1,0,0,0,0
milton,1,6,6,2,5
monroe,0,0,0,0,0
monson,0,0,0,1,1
montague,3,2,3,0,1
monterey,0,0,0,0,0
montgomery,0,0,0,0,0
mount washington,0,0,0,0,0
nahant,0,0,0,1,0
nantucket,2,1,2,1,2
natick,4,2,2,7,1
needham,0,1,2,1,0
new ashford,0,0,0,0,0
new bedford,38,64,63,56,62
new braintree,0,0,0,0,0
new marlborough,1,0,0,0,0
new salem,0,2,0,0,0
newbury,2,1,0,1,0
newburyport,5,4,11,7,7
newton,5,10,15,11,3
norfolk,1,1,0,0,1
north adams,7,6,4,5,4
north andover,2,1,1,1,1
north attleboro,1,6,4,4,3
north brookfield,1,0,2,1,0
north reading,2,0,1,3,1
northampton,11,3,14,8,13
northborough,0,0,1,0,0
northbridge,2,1,1,3,3
northfield,0,0,0,0,1
norton,3,1,1,3,4
norwell,1,3,1,1,1
norwood,9,17,14,17,12
oak bluffs,0,2,1,1,1
oakham,0,0,0,0,0
orange,0,1,1,1,2
orleans,0,0,1,0,3
otis,0,0,1,0,0
oxford,2,1,3,1,0
palmer,4,2,5,6,7
paxton,1,0,0,0,0
peabody,10,13,11,12,9
pelham,0,0,0,0,0
pembroke,3,2,5,1,0
pepperell,1,2,2,1,2
peru,0,0,0,1,0
petersham,0,0,0,0,0
phillipston,0,0,0,0,0
pittsfield,14,19,22,14,21
plainfield,0,0,0,0,0
plainville,3,2,1,2,0
plymouth,19,21,26,23,15
plympton,0,1,2,1,0
princeton,1,1,1,0,1
provincetown,2,1,0,1,0
quincy,39,43,36,37,35
randolph,5,4,7,3,4
raynham,1,1,0,2,1
reading,2,2,4,4,1
rehoboth,0,1,0,0,2
revere,12,8,17,12,9
richmond,0,0,0,0,0
rochester,1,0,0,0,0
rockland,2,3,10,10,8
rockport,1,2,0,1,3
rowe,0,0,0,0,0
rowley,0,0,0,2,1
royalston,0,0,0,0,0
russell,0,0,0,0,0
rutland,0,0,0,0,1
salem,21,26,29,40,36
salisbury,3,7,8,9,6
sandisfield,0,0,0,0,0
sandwich,0,2,4,1,4
saugus,7,2,8,4,11
savoy,0,0,0,0,0
scituate,1,4,2,0,1
seekonk,2,1,1,1,1
sharon,1,0,1,1,1
sheffield,0,0,0,0,1
shelburne,1,0,0,0,0
sherborn,1,1,1,1,1
shirley,1,0,0,1,0
shrewsbury,1,1,3,7,5
shutesbury,0,0,0,0,0
somerset,1,1,1,2,2
somerville,14,15,19,12,8
south hadley,0,1,2,1,0
southampton,0,0,1,0,0
southborough,1,0,1,0,0
southbridge,4,4,14,7,9
southwick,1,0,0,2,3
spencer,0,7,2,1,1
springfield,31,65,75,56,108
sterling,0,0,1,0,1
stockbridge,0,0,0,2,1
stoneham,4,5,6,2,4
stoughton,3,4,7,5,7
stow,0,0,0,0,0
sturbridge,1,1,1,3,0
sudbury,0,0,0,0,0
sunderland,0,0,1,1,1
sutton,0,0,0,0,2
swampscott,2,1,3,1,1
swansea,0,0,0,3,2
taunton,23,18,44,31,37
templeton,1,1,3,0,1
tewksbury,1,6,12,10,5
tisbury,0,2,1,1,2
tolland,0,0,0,0,1
topsfield,0,0,1,0,0
townsend,0,0,0,4,2
truro,0,0,1,0,0
tyngsborough,1,2,1,2,4
tyringham,0,1,0,0,0
upton,0,0,1,0,1
uxbridge,0,1,0,0,0
wakefield,3,0,7,5,5
wales,0,0,0,0,1
walpole,1,2,4,4,3
waltham,11,6,11,11,3
ware,8,3,10,5,4
wareham,12,13,17,19,18
warren,1,0,0,0,1
warwick,0,0,0,0,0
washington,0,0,0,0,0
watertown,2,3,4,5,1
wayland,0,0,1,1,1
webster,5,6,5,9,9
wellesley,0,1,0,0,0
wellfleet,0,0,0,1,0
wendell,0,0,0,0,0
wenham,0,1,0,1,2
west boylston,1,0,2,2,1
west bridgewater,3,0,1,1,2
west brookfield,0,0,0,0,0
west newbury,0,0,0,0,0
west springfield,6,8,4,4,12
west stockbridge,0,0,0,0,1
west tisbury,1,0,1,0,0
westborough,0,2,0,2,1
westfield,8,4,16,8,16
westford,1,0,1,3,0
westhampton,0,0,0,0,0
westminster,0,1,0,1,0
weston,0,0,1,1,0
westport,2,0,1,5,3
westwood,0,1,2,0,0
weymouth,25,35,57,55,33
whately,0,0,0,0,0
whitman,1,3,1,1,1
wilbraham,0,1,0,0,0
williamsburg,0,0,0,0,1
williamstown,1,0,0,0,1
wilmington,1,4,2,4,2
winchendon,0,0,2,1,3
winchester,11,9,10,6,12
windsor,0,0,0,0,0
winthrop,0,2,1,9,2
woburn,5,1,9,10,8
worcester,86,120,109,118,134
worthington,0,0,0,0,0
wrentham,1,2,1,2,1
yarmouth,2,3,6,8,4
